cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,mean_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,sin_hour,cos_hour,is_gap,time_since_last_obs,time_to_next_obs
3.5,0.0,190.61163,184.03978,189.09772,189.09772,190.2098,190.2098,190.2098,190.2098,181.56837,10.0,1024.0,448.21707,0.040211212,-0.2668179,-0.96374696,0.19765735,0.98027116,0.0,0.0,0.0
3.5,0.043524027,351.271,344.51953,347.29102,347.292,350.9541,350.98096,350.98145,350.98047,343.81592,20.0,1024.0,562.3685,0.040617384,-0.2679391,-0.9634358,0.22495106,0.97437006,0.0,0.0,0.0
3.5,0.11300701,634.70215,609.4595,616.76807,621.6631,632.9668,634.40137,634.43896,634.43896,609.69336,40.0,1024.0,639.6191,0.04102356,-0.2690599,-0.96312344,0.25206935,0.9677092,0.0,0.0,0.0
3.5,0.10201001,763.8721,738.5957,748.7178,749.22314,757.4121,759.40186,761.4453,761.4458,735.54736,50.0,1024.0,728.33435,0.041429732,-0.27018037,-0.96280974,0.2789911,0.9602937,0.0,0.0,0.0
3.5,0.009861946,956.6987,923.9673,949.7949,952.1587,954.6079,955.6328,956.0576,956.4834,921.8882,60.0,1024.0,778.5431,0.041835904,-0.27130046,-0.96249473,0.3056953,0.95212936,0.0,0.0,0.0
3.5,0.25145602,1155.9214,1129.8687,1139.3418,1141.3301,1150.0464,1152.2739,1152.6577,1153.3848,1106.998,80.0,1024.0,838.4717,0.04224208,-0.2724202,-0.9621784,0.33216113,0.94322264,0.0,0.0,0.0
3.5,0.415916,1502.876,1438.3911,1474.5679,1477.9312,1495.8193,1497.5718,1500.1821,1500.6572,1440.1948,90.0,1024.0,838.4717,0.042648252,-0.27353954,-0.9618608,0.35836795,0.9335804,0.0,0.0,0.0
3.5,0.32258302,1612.9849,1547.8877,1573.6025,1587.5723,1595.418,1608.584,1610.2031,1610.522,1545.4658,109.99999,1024.0,436.57626,0.043054428,-0.27465853,-0.96154183,0.3842953,0.9232102,0.0,0.0,0.0
3.5,0.476131,1814.9126,1743.5137,1778.6602,1784.4448,1795.8345,1800.6265,1806.1182,1807.48,1737.19,120.0,1024.0,442.74893,0.0434606,-0.27577716,-0.9612216,0.40992305,0.9121201,0.0,0.0,0.0
3.5,0.38228,2512.795,2406.913,2451.9688,2467.2148,2490.745,2503.6572,2512.3022,2512.435,2406.398,130.0,1024.0,448.15973,0.043866776,-0.2768954,-0.96090007,0.4352311,0.90031874,0.0,0.0,0.0
3.5,0.569335,5918.921,5799.805,5887.637,5888.425,5890.974,5904.012,5907.837,5911.538,5803.573,140.0,1024.0,453.13635,0.044272948,-0.2780133,-0.96057725,0.46019977,0.88781536,0.0,0.0,0.0
