time,split,cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,mean_ms,n,ram_limit_mb,ram_usage_mb
1637380849.0,train,4.0,0.497899,10000.349,9831.357,9912.617,9927.937,9975.859,9979.436,9997.376,9998.883,9846.48,210.0,2560.0,556.724224
1637380862.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637380875.0,train,4.0,0.54823,11970.896,11827.262,11908.204,11919.729,11949.103,11965.624,11968.239,11968.981,11814.919,220.0,2560.0,566.923264
1637380888.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637380901.0,train,4.0,0.781928,12850.691,12635.305,12750.743,12775.872,12800.104,12817.341,12821.641,12824.735,12650.055,230.0,2560.0,579.117056
1637380914.0,train,4.0,0.730398,9696.457,9546.09,9635.214,9641.548,9669.985,9683.964,9690.196,9694.054,9546.957,240.0,2560.0,591.740928
1637380927.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637380940.0,train,4.0,0.993097,13735.57,13544.172,13643.142,13657.96,13701.476,13708.175,13724.515,13729.32,13523.25,250.0,2560.0,603.50464
1637380953.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637380966.0,train,4.0,0.809615,11467.329,11296.214,11387.333,11423.017,11447.918,11458.888,11465.438,11466.481,11286.468,260.0,2560.0,615.743488
1637380979.0,train,4.0,0.732486,11111.483,10896.749,11012.011,11040.023,11066.28,11094.199,11103.638,11107.155,10908.0,270.0,2560.0,630.714368
